国家,年份,预期寿命,成人死亡率,婴儿死亡数,酒精消费,五岁以下死亡数,乙肝疫苗接种率,麻疹病例数,BMI指数,脊髓灰质炎疫苗接种率,白喉疫苗接种率,HIV/AIDS死亡率,GDP人均,人口数量(百万),10-19岁消瘦率,5-9岁消瘦率,受教育年限,发达国家,发展中国家
Afghanistan,2015,63.4,227.735,53.2,0.0,70.4,65,42,23.3,67,65,0.03,556,34.41,17.2,17.3,3.6,0,1
Afghanistan,2014,63.0,231.978,55.2,0.01,73.6,62,44,23.2,62,62,0.03,565,33.37,17.5,17.5,3.5,0,1
Afghanistan,2013,62.5,236.221,57.3,0.01,76.9,64,38,23.0,64,64,0.03,569,32.27,17.7,17.7,3.5,0,1
Afghanistan,2012,62.1,240.464,59.5,0.01,80.3,67,33,22.9,67,67,0.03,558,31.16,17.9,18.0,3.4,0,1
Afghanistan,2011,61.6,245.3,61.8,0.01,84.0,68,31,22.8,68,68,0.02,512,30.12,18.2,18.2,3.3,0,1
Afghanistan,2010,61.0,250.135,64.2,0.02,87.8,66,29,22.7,66,66,0.02,526,29.19,18.4,18.4,3.2,0,1
Afghanistan,2009,60.5,254.9705,66.7,0.01,91.7,63,24,22.6,63,63,0.02,473,28.39,18.6,18.7,3.1,0,1
Afghanistan,2008,59.9,259.806,69.2,0.028,95.7,64,23,22.5,64,64,0.02,399,27.72,18.8,18.9,3.0,0,1
Afghanistan,2007,59.4,264.6415,71.9,0.018,99.9,63,21,22.4,63,63,0.02,393,27.1,19.0,19.1,2.9,0,1
Afghanistan,2006,58.8,271.4905,74.6,0.026,104.1,64,18,22.3,58,58,0.02,354,26.43,19.2,19.3,2.7,0,1
Afghanistan,2005,58.3,278.3395,77.3,0.016,108.4,66,17,22.2,58,58,0.02,346,25.65,19.3,19.5,2.6,0,1
Afghanistan,2004,57.8,285.188,80.0,0.02,112.6,67,16,22.1,50,50,0.02,323,24.73,19.5,19.7,2.5,0,1
Afghanistan,2003,57.3,292.0365,82.7,0.02,116.9,65,15,22.0,41,41,0.02,332,23.68,19.7,19.9,2.4,0,1
Afghanistan,2002,56.8,298.8855,85.3,0.02,121.1,64,14,21.9,36,36,0.02,320,22.6,19.9,2.2,2.3,0,1
